Team,Player,Pass,Shot,Aerial Won,Passing Accuracy,Tackle,Touch
英格蘭,HARRY KANE,23,3,4,60,0,33
英格蘭,KIERAN TRIPPIER,52,1,1,78,1,81
英格蘭,RAHEEM STERLING,19,0,0,78,0,34
英格蘭,DELE ALLI,30,2,2,83,2,49
英格蘭,JESSE LINGARD,28,4,0,96,2,45
英格蘭,JORDAN HENDERSON,64,1,3,84,1,74
英格蘭,HARRY MAGUIRE,78,3,7,88,2,94
英格蘭,JOHN STONES,74,3,4,98,2,85
英格蘭,KYLE WALKER,75,0,1,94,0,79
英格蘭,ASHLEY YOUNG,47,1,0,82,0,74
英格蘭,JORDAN PICKFORD,26,0,0,69,0,29
克羅埃西亞,MARIO MANDZUKIC,28,2,2,53,0,36
克羅埃西亞,MATEO KOVACIC,3,1,0,66,1,8
克羅埃西亞,LUKA MODRIC,63,1,2,85,3,83
克羅埃西亞,IVAN RAKITIC,64,1,2,85,2,87
克羅埃西亞,IVAN PERISIC,38,1,3,78,2,53
克羅埃西亞,IVAN STRINIC,47,0,5,70,2,70
克羅埃西亞,SIME VRSALJKO,34,1,3,85,1,59
克羅埃西亞,MARCELO BROZOVIC,30,0,1,90,0,31
克羅埃西亞,DOMAGOJ VIDA,39,0,1,84,1,50
克羅埃西亞,DEJAN LOVRAN,57,1,4,85,0,69
克羅埃西亞,DANIJEL SUBASIC,29,0,1,65,0,38
